Principle,Category,Definition,UI_Application,CampVibe_Tie_In,Do,Dont,Source
Hick's Law,Decision-making,Time to decide increases logarithmically with the number and complexity of choices.,Cut visible options per decision point; group and prioritize; highlight one recommended path.,"Catalog filter modal: keep the deciders (province, price, camp type) visible and tuck rare filters behind ตัวกรองเพิ่มเติม; booking widget offers one primary action per view.",Limit choices per decision point to what the task needs; break complex flows into steps.,Don't dump every filter or host setting on one screen; don't add options just in case.,Hick & Hyman (1953); lawsofux.com/hicks-law
Fitts's Law,Interaction,Time to acquire a target is a function of the distance to and size of the target.,Make primary actions large and near the thumb/cursor; expand hit areas on small controls.,Booking widget CTA is size lg (h-12) full-width next to the price summary; a mobile sticky bar keeps จองเลย in the thumb zone; icon buttons are h-11 w-11 (44px) per DESIGN.md.,Keep touch targets >=44px and place the primary CTA where the user's attention already is.,Don't hide the booking CTA below the fold or shrink tap targets to fit more content.,Fitts (1954); lawsofux.com/fitts-law
Miller's Law,Memory,Working memory holds about 7 (plus or minus 2) chunks; practical capacity is often 3-4.,Chunk information into labeled groups; keep lists and menus short and structured.,Camp detail groups amenities into labeled sections instead of one 30-item list; host dashboard shows 4 headline stats with detail behind tabs.,Chunk lists and forms into labeled groups of 3-7 items.,Don't make users remember values across screens; keep needed context visible.,Miller (1956); lawsofux.com/millers-law
Jakob's Law,Expectation,Users spend most of their time on other sites and expect yours to work the same way.,"Follow platform conventions for navigation, cards, checkout, and calendars.","Catalog cards follow the familiar OTA pattern (photo, title, price/night, rating); the availability calendar is a standard month grid; dates are check-in/check-out like every booking site.","Reuse familiar booking-site patterns; differentiate on content and photos, not core interaction.",Don't invent novel interactions for search or booking that force relearning.,Nielsen (2000); lawsofux.com/jakobs-law
Gestalt: Proximity,Perception,Elements placed close together are perceived as related.,Separate groups with space; keep labels near their fields and prices near their actions.,"Booking widget keeps dates, guest count, and total price in one tight visual group, separated from reviews by section spacing (space-y-8).",Use spacing tokens (gap/space-y) to signal grouping before reaching for borders.,Don't place a field's error message closer to the next field than to its own.,Wertheimer (1923); NN/g gestalt series
Gestalt: Similarity,Perception,Elements that look alike are perceived as the same kind of thing.,Same role = same style; different role = visibly different treatment.,"All catalog cards share one grammar (radius, shadow, type scale) so campgrounds read as one browsable set; every status uses the one Badge style per state.",Keep one visual grammar per component role per DESIGN.md section 3.,Don't style two different actions identically; จองเลย and สอบถามที่ว่าง must differ in emphasis.,Wertheimer (1923); NN/g
Gestalt: Closure,Perception,The mind completes incomplete shapes and patterns.,Use partial reveals (a cropped next card) to imply more content; keep icon forms simple.,Horizontal camp rows on Home show a partially cut next card signalling more to swipe; the gallery shows a +6 tile implying more photos.,Let a cropped element at the container edge hint that content scrolls.,"Don't align content flush to the viewport edge, hiding that more items exist.",Koffka (1935); lawsofux.com
Gestalt: Common Region,Perception,Elements inside a shared boundary are perceived as one group.,Use cards and panels to bind related content; one card = one decision unit.,"Each campground is one Card (rounded-3xl); the booking widget sits in its own bordered card so price, dates, and CTA read as a single decision unit.","Use Card/border to bind price, dates, and CTA into one unit.",Don't mix unrelated actions inside one card region.,Palmer (1992); lawsofux.com
Gestalt: Figure-Ground,Perception,People separate a focal figure from its background instantly.,Dim or blur the background when a modal or overlay is the figure; put text on scrims over photos.,The photo-gallery lightbox dims the page; modal backdrops isolate the task; text over camp photos uses the approved bg-foreground/50 scrim idiom from DESIGN.md.,Dim the background layer whenever an overlay carries the task.,Don't set text on busy photos without a scrim (fails both contrast and figure-ground).,Rubin (1921); NN/g
Gestalt: Continuity,Perception,Eyes follow lines and aligned paths; aligned elements read as a sequence.,Align repeated info along one axis so the eye sweeps one clean line.,Search results keep price and rating at identical card positions so the eye sweeps straight down; host onboarding steps sit on one horizontal progress path.,Keep repeated info at identical positions across cards and rows.,Don't stagger key info (price sometimes top sometimes bottom of the card).,Wertheimer (1923)
