Data Type,Best Chart,When to Use,When NOT,Volume Threshold,A11y Grade,A11y Fallback,Library Rec
Trend Over Time,Line Chart (alt: Area Chart),"Data has a time axis; user needs to observe rise/fall trends or rate of change over a continuous period","Fewer than 4 data points (use stat card); more than 6 series (visual noise); no time dimension exists","<1000 pts: SVG; >=1000 pts: Canvas + downsampling; >10000: aggregate to intervals",AA,"Dashed/dotted line styles per series (not color alone); togglable data table with timestamps and values","Chart.js, Recharts, ApexCharts"
Compare Categories,Bar Chart horizontal or vertical (alt: Grouped Bar),"Comparing discrete categories by magnitude; ranking or ordering is the core insight; categories <= 15; always sort descending by value","Categories > 15 (use table or search); data has time dimension (use line); showing proportions (use waffle/stacked)","<20 categories: vertical bar; 20-50: horizontal bar; >50: paginated table",AAA,"Value labels always visible on each bar; provide CSV export and sort control","Chart.js, Recharts, D3.js"
Part-to-Whole,Pie Chart or Donut (alt: Stacked Bar / Waffle),"<=5 categories; one dominant segment vs rest; emphasis on visual proportion over exact values; label slices with %","Categories > 5; slice differences < 5% (visually indistinguishable); user needs precise values; accessibility-first context","Max 6 slices; beyond that switch to stacked bar 100%",C,"Pie fails WCAG for colorblind users; stacked-bar alternative + percentage data table is a mandatory fallback","Chart.js, Recharts, D3.js"
Correlation / Distribution,Scatter Plot or Bubble Chart (alt: Heat Map),"Exploring relationship between two continuous variables; identifying clusters or outliers in a dataset","Variables are categorical (use grouped bar); fewer than 20 points (patterns are not meaningful); mobile-primary context","<500 pts: SVG; 500-5000: Canvas at 0.6-0.8 opacity; >5000: hexbin or aggregate first",B,"Data table with correlation coefficient annotation; shape markers (circle/square/triangle) per group","D3.js, Plotly, Recharts"
Heatmap / Intensity,Heat Map (alt: Grid Heat Map),"Showing intensity/density across a 2D grid; time-based patterns (activity by hour x day); numeric color legend required","Fewer than 20 cells (use bar); user needs to read exact values; colorblind users without pattern fallback","Up to 10000 cells efficiently; beyond that aggregate; calendar heatmap: 365 cells max per SVG",B,"Pattern overlay for colorblind users; numerical value on hover; downloadable grid table with row/column labels","D3.js, Plotly, ApexCharts"
Geographic Data,Choropleth Map or Bubble Map,"Data has a regional/location dimension; spatial distribution is the core insight for the user","Regions have very different sizes making visual comparison misleading (use bar); mobile-primary context","<1000 regions: SVG; >=1000: Canvas/WebGL (Deck.gl); global maps: tile-based rendering",B,"Text labels for major regions; sortable data table by region name and value; keyboard-navigable regions","D3.js, Mapbox, Leaflet"
Funnel / Flow,Funnel Chart or Sankey (alt: Waterfall for flows),"Sequential multi-stage process; showing conversion or drop-off rates between defined stages; highlight the biggest drop","Stages are not sequential; values do not decrease monotonically (use bar); fewer than 3 stages","3-8 stages optimal; beyond 8 stages group minor steps into Other",AA,"Linear list view with stage name + count + drop-off %; explicit conversion % as text per stage; keyboard traversal","D3.js, Recharts, Custom SVG"
Performance vs Target,Gauge Chart or Bullet Chart,"Single KPI measured against a defined target or threshold; dashboard summary context","No target or benchmark exists; comparing multiple KPIs at once (use bullet chart grid)","Single metric per gauge; for 3+ KPIs use bullet chart grid layout",AA,"Numerical value + % of target shown as visible text beside the chart; ARIA live region for real-time updates","D3.js, ApexCharts, Custom SVG"
Time-Series Forecast,Line with Confidence Band (alt: Ribbon Chart),"Historical data + model predictions; communicating uncertainty range to non-technical stakeholders; distinguish actual (solid) vs forecast (dashed)","No historical baseline; prediction confidence is too low to be useful; audience is not data-literate","Historical window 30-90 days for readability; forecast horizon <= 30% of visible x-axis range",AA,"Toggle actual/forecast independently; legend labels must include line-style description (solid vs dashed)","Chart.js, ApexCharts, Plotly"
Anomaly Detection,Line Chart with Highlights (alt: Scatter with Alert),"Monitoring a time-series for outliers; alerting users to unexpected spikes or dips in operational data","Anomalies are predefined categories (use bar with highlight); real-time context without a pause control","Stream at <=60fps with Canvas; batch: up to 10000 pts; mark anomalies as a separate data layer",AA,"Shape marker (not color only) for anomaly points; text alert annotation per anomaly; anomaly summary list panel","D3.js, Plotly, ApexCharts"
