Category,Issue,Do,Don't,Code Good,Code Bad,Severity
Navigation,Smooth Scroll,Use scroll-behavior smooth so anchor links glide to the target section,Jump instantly to the anchor with no transition,html { scroll-behavior: smooth; },<a href='#section'> with no smooth-scroll CSS,Medium
Navigation,Anchor Offset Under Sticky Nav,Add scroll-margin-top equal to the nav height on anchor targets so headings land below the fixed nav,Let the fixed nav cover the section heading after an anchor jump,scroll-mt-20 on the target section (nav is h-20),Anchor target hidden under the sticky navbar,Medium
Navigation,Active State,Visually indicate the current page or section in the nav (color + underline or weight),Leave every nav link identical so users lose their place,aria-current='page' + text-primary on the active item,All nav links styled the same,Medium
Navigation,Back Button,Preserve browser history so back returns to the previous view (list scroll position and filters included),Break the back button with location.replace or state that vanishes on back,history.pushState() / router.push(),location.replace() for normal navigation,High
Navigation,Deep Linking,Reflect filter/search/tab state in the URL so results can be shared and restored,Keep dynamic state only in memory behind a single static URL,?province=chiangmai&type=glamping in searchParams,One URL for every filter combination,Medium
Animation,Excessive Motion,Animate at most 1-2 key elements per view so motion directs attention,Animate everything that can move (cards + icons + badges at once),Single hero entrance animation,animate-bounce on 5+ elements in one view,High
Animation,Hover vs Tap,Bind primary interactions to click/tap because hover does not exist on touch devices,Reveal critical actions or info on hover only,onClick handler + visible affordance,onMouseEnter as the only path to an action,High
Animation,Continuous Animation,Reserve infinite/looping animation for loading indicators only,Loop decorative animation on static UI (icons badges arrows),animate-spin on a spinner while loading,animate-bounce looping on a decorative icon,Medium
Layout,Z-Index Scale,Define a fixed z-index scale (10/20/30/50) and assign layers by role,Escalate with arbitrary huge values until it renders on top,z-10 dropdown / z-20 sticky nav / z-50 modal,z-[9999] to win a stacking fight,High
Layout,Overflow Clipping,Verify content fits before applying overflow-hidden; use overflow-auto when content can grow,Blindly apply overflow-hidden and clip focus rings badges or Thai ascenders,overflow-auto on a growable container,overflow-hidden truncating visible content,Medium
Layout,Fixed Element Collisions,Account for safe areas and other fixed elements (sticky nav + bottom booking bar) when positioning fixed UI,Stack multiple fixed elements that overlap each other or the iOS home indicator,bottom bar with pb-[env(safe-area-inset-bottom)],Two fixed bars overlapping at the bottom edge,Medium
Layout,Stacking Context,Know that transform/filter/opacity create a new stacking context that traps children's z-index,Expect a child z-index to escape its parent's stacking context,Raise z-index on the parent that owns the context,z-[9999] on a child inside a transformed parent,Medium
Layout,Mobile Viewport Units,Use dvh (dynamic viewport height) for full-height mobile layouts because browser chrome shrinks 100vh,Use 100vh full-screen layouts that overflow when the mobile URL bar shows,min-h-dvh,h-screen (100vh) on a mobile full-page layout,Medium
Touch,Touch Target Spacing,Keep at least 8px gap between adjacent touch targets to prevent mis-taps,Pack tappable elements edge-to-edge (calendar days filter chips icon rows),gap-2 between adjacent buttons,gap-0 between 44px targets,Medium
Touch,Gesture Conflicts,Keep vertical scroll as the primary gesture; avoid horizontal swipe as the only way to reach content,Override system gestures (edge-swipe back) or trap content in swipe-only carousels,Horizontal card row with visible scrollbar + partial next card,Swipe-only carousel with no scroll affordance,Medium
Touch,Tap Delay,Apply touch-action manipulation on interactive elements to remove the double-tap-zoom delay,Leave the mobile default so taps feel laggy on controls,touch-action: manipulation on buttons/controls,No touch optimization on tap-heavy UI,Medium
Touch,Pull to Refresh,Contain overscroll where accidental pull-to-refresh loses state (modals maps full-screen sheets),Leave default overscroll so a scroll flick reloads and discards form state,overscroll-behavior: contain on the sheet/map,Default overscroll on a full-screen overlay,Low
Forms,Input Types,Use the semantic input type (email tel url number date) for validation hints and the right mobile keyboard,Use type='text' for everything,type='tel' for phone / type='email' for email,type='text' for a phone field,Medium
Forms,Autofill Support,Set the correct autocomplete tokens so browsers fill name/phone/email correctly,Set autocomplete='off' everywhere or omit tokens on identity fields,autocomplete='tel' / 'email' / 'name' / 'street-address',autocomplete='off' on the inquiry form,Medium
Forms,Required Indicators,Mark required fields explicitly (asterisk or required text) before the user submits,Make users guess which fields are required and learn from errors,<Label>เบอร์มือถือ <span aria-hidden>*</span></Label>,No indication until submit fails,Medium
Forms,Password Visibility,Provide a show/hide toggle so users can verify the password while typing,Force blind typing with no visibility toggle,Eye toggle button with aria-label='แสดงรหัสผ่าน',Password field with no reveal option,Medium
Forms,Mobile Keyboards,Set inputmode so mobile shows the matching keyboard (numeric for OTP/price decimal for coordinates),Show the full text keyboard for number-only fields,inputmode='numeric' on the OTP input,Default keyboard for a 6-digit OTP,Medium
Forms,iOS Input Zoom,Keep input font-size at 16px or larger so iOS Safari does not auto-zoom on focus,Use small text (14px or less) on mobile inputs causing viewport zoom-jump,text-base (16px) on inputs,text-sm (14px) on a mobile input,Medium
Responsive,Mobile First,Write mobile styles as the default and enhance upward with md:/lg: breakpoints,Design desktop-first and patch mobile with max-width overrides,Default mobile + md: lg: xl: additive classes,Desktop default + max-width media queries,Medium
Responsive,Breakpoint Testing,Test at the common widths 320 375 414 768 1024 1440 before calling responsive work done,Verify only on your own device/window size,Check 320px (small Android) through 1440px,Single-width development,Medium
Responsive,Horizontal Scroll,Ensure page content never exceeds viewport width; only intentional rows scroll horizontally within their own container,Ship a page-level horizontal scrollbar on mobile from one overflowing element,max-w-full + overflow-x-auto on the wide element only,Fixed-width child pushing the page wider than the viewport,High
Responsive,Table Overflow,Wrap wide tables in their own horizontal scroll container or reflow to cards on mobile,Let a dashboard table break or squash the page layout on small screens,overflow-x-auto wrapper around the bookings table,Table wider than the viewport distorting the page,Medium
Content,Date Formatting,Use locale-aware or relative dates (th-TH Buddhist-era awareness) so dates read unambiguously,Show ambiguous numeric formats like 01/02/03,Intl.DateTimeFormat('th-TH' { dateStyle: 'medium' }) or 2 ชั่วโมงที่แล้ว,Raw 01/02/03 strings,Low
Content,Number Formatting,Format large numbers with thousand separators or abbreviations (pair with tabular-nums per DESIGN.md),Render long unformatted numbers users must parse digit by digit,(1890).toLocaleString('th-TH') -> 1890 shown as 1 890 with separator,1234567 raw in the price/stat UI,Low
Search,Autocomplete,Debounce input and show suggestions as the user types (recent searches + popular provinces),Require a full query and an enter press before any feedback,Debounced fetch (~300ms) + suggestion dropdown,No suggestions on the search field,Medium
Feedback,Step Progress,Show position in multi-step flows with a step indicator (host onboarding booking steps),Hide how many steps remain in a wizard,ขั้นตอนที่ 2 จาก 4 indicator,Multi-step form with no progress cue,Medium
Accessibility,Skip Links,Provide a skip-to-main-content link as the first focusable element on nav-heavy pages,Force keyboard users to tab through the whole navbar on every page,<a href='#main' class='sr-only focus:not-sr-only'>ข้ามไปยังเนื้อหา</a>,Dozens of tab stops before the content,Medium
AI Interaction,Disclaimer,Label AI-generated content and assistants clearly so users know they are not talking to a human,Present AI output or an AI chat as if it came from a person,ผู้ช่วย AI label on the assistant surface,Fake human persona with no AI label,High
AI Interaction,Streaming,Stream assistant responses token by token so users see progress immediately,Hold a spinner until the full response is ready (10s+ dead wait),Typewriter/streamed rendering of the answer,Spinner until 100% complete,Medium
AI Interaction,Feedback Loop,Offer thumbs up/down or regenerate on AI answers to collect quality signals,Ship read-only AI output with no way to flag a bad answer,Feedback buttons under each AI response,Static output only,Low
